Date,Open,High,Low,Close,Volume
2010-07-28,100000.0,100092.37679163991,99559.09781138915,100000.0,2446052917
2010-07-29,100000.0,101404.76301586721,98727.90994709084,99842.60354824322,1930766376
2010-07-30,99842.60354824322,101007.19216087405,99842.60354824322,100862.52849900228,2475986797
2010-08-02,100862.52849900228,104116.772548244,100862.52849900228,103217.20939770357,1441760173
2010-08-03,103217.20939770357,104193.85072242373,101961.84694772946,102906.28813375246,2113435657
2010-08-04,102906.28813375246,104168.63629072467,102277.87375973829,102596.32880050075,3480092318
2010-08-05,102596.32880050075,106737.5894586893,102596.32880050075,105077.9485238874,1251876580
2010-08-06,105077.9485238874,106990.64028140808,105077.9485238874,106340.09450262995,1028853040
2010-08-09,106340.09450262995,106844.47063764553,105265.22894454896,105644.40529137796,1048561681
2010-08-10,105644.40529137796,106721.09928936727,105449.03148335629,106557.00399111619,1113842685
2010-08-11,106557.00399111619,106557.00399111619,103912.4047173351,105869.57647897318,2693412089
2010-08-12,105869.57647897318,105869.57647897318,103807.49554421783,105182.91209075057,990265032
2010-08-13,105182.91209075057,106550.91334506229,105182.91209075057,105617.25799188708,1723228399
2010-08-16,105617.25799188708,105617.25799188708,101030.73243161595,102638.93542272097,2724518818
2010-08-17,102638.93542272097,102638.93542272097,99435.30190214937,100034.59894012025,2463237916
2010-08-18,100034.59894012025,100551.36261436499,99066.55296617356,99240.89312744053,1649327601
2010-08-19,99240.89312744053,99240.89312744053,96835.78917580309,97782.79959946543,2200333734
2010-08-20,97782.79959946543,98551.42287619383,96934.43374838312,98292.61075848262,2110067305
2010-08-23,98292.61075848262,98292.61075848262,96256.00468469586,97002.97620864381,1787873103
2010-08-24,97002.97620864381,97002.97620864381,93565.72540585605,94996.51276164803,1799897684
2010-08-25,94996.51276164803,98678.25055291323,94996.51276164803,97132.4838477431,6115710168
2010-08-26,97132.4838477431,97701.21297007015,95748.89194169348,96852.0968967638,2997572014
2010-08-27,96852.0968967638,97933.84463515868,94614.23607974857,96998.62666856767,6913476614
2010-08-30,96998.62666856767,96998.62666856767,94042.67367912794,94974.14672073338,1559968477
2010-08-31,94974.14672073338,95875.78694979746,94138.98238192828,94246.09952282443,1916812944
2010-09-01,94246.09952282443,96294.56400417714,92939.66046703646,94450.03289402272,1027454411
2010-09-02,94450.03289402272,94450.03289402272,92241.47090453001,92866.58719174455,1334242585
2010-09-03,92866.58719174455,94136.01870534502,92866.58719174455,93436.36737701738,5176368532
2010-09-06,93436.36737701738,93436.36737701738,92270.58719317823,92641.26310132434,1540535426
2010-09-07,92641.26310132434,93359.28578492696,91744.08218145171,92282.24057158083,5221516258
2010-09-08,92282.24057158083,92282.24057158083,90209.37517184172,91495.47917671765,1074081685
2010-09-09,91495.47917671765,95286.27950733075,91495.47917671765,94083.35311720941,1181060381
2010-09-10,94083.35311720941,95130.57265967212,92132.56100169902,94111.3468313512,1686291214
2010-09-13,94111.3468313512,94111.3468313512,90121.32564829456,90732.44463642732,1937255381
2010-09-14,90732.44463642732,92516.47832294354,90732.44463642732,91897.28351922121,3173042246
2010-09-15,91897.28351922121,91897.28351922121,88893.75849561598,89382.0203032081,2505610429
2010-09-16,89382.0203032081,92140.13739340537,89201.7722562519,89706.74106469944,1624158039
2010-09-17,89706.74106469944,89706.74106469944,87021.05988600342,87114.66012960514,1871030366
2010-09-20,87114.66012960514,87114.66012960514,85356.98984825113,85422.6503160899,1705086292
2010-09-21,85422.6503160899,86463.82772380146,84923.44265809945,86053.73537658878,1265946815
2010-09-22,86053.73537658878,87310.10218498873,86053.73537658878,87049.97935916777,1282954616
2010-09-23,87049.97935916777,87630.07763404252,85689.50032488306,87317.2684289534,3343737275
